Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","41","China, mainland","8","Antigua and Barbuda","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","2010","2010","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","9","Argentina","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1989","1989","tonnes","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1987","1987","tonnes","71","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1988","1988","tonnes","69","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1989","1989","tonnes","282","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1990","1990","tonnes","244","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1991","1991","tonnes","701","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1992","1992","tonnes","441","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1993","1993","tonnes","419","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1994","1994","tonnes","402","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1995","1995","tonnes","89","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","1996","1996","tonnes","110","A","Aggregate, may include official, semi-official, estimated or calculated data"
